Rank	Country	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
1	India	77774	65755	71065	66048	79255	66565	78301	79504	77581	84530	92511	109596	948485
2	United Kingdom	38395	46142	43987	30521	17315	20894	44312	37351	19440	23140	29827	39292	390616
3	Russian Federation	65255	62325	57193	28628	7712	5303	7736	7797	7427	21863	54006	63255	388500
4	Germany	28643	33492	36242	21497	14718	10054	21186	23123	17604	18970	27111	31410	284050
5	China	29237	27969	24950	17636	16733	18026	26667	24382	20212	20028	17588	20288	263716
6	Australia	16208	15043	17864	17946	11394	13616	16488	14520	16305	14426	17321	27929	199060
7	France	22538	27972	26238	17068	9534	7447	20464	19091	8893	9845	15124	13602	197816
8	United States	12779	12148	15293	9776	7689	9445	10184	8509	6029	7161	9756	16736	125505
9	Netherlands	11015	9600	8545	7913	4174	4358	26987	11437	8158	6300	7325	8468	114280
10	Bangladesh	6955	7651	6021	7782	10160	10200	7881	7951	9131	9253	7526	8607	99118
11	Poland	15385	15428	10450	4447	2080	2185	5726	5644	4897	4314	10495	13103	94154
12	Italy	8263	7309	6026	5878	2343	3966	8516	21833	4242	3344	5242	12177	89139
13	Canada	8584	8462	8253	6832	6706	7502	10283	8201	4608	4783	6412	7719	88345
14	Maldives	5918	6078	3494	5454	11046	8266	7852	6201	8289	5660	5339	10790	84387
15	Spain	4700	4564	5254	5310	2962	4412	10136	16105	9007	7150	8321	6045	83966
16	Japan	4624	6193	6283	4323	3707	3759	5278	9229	7663	4645	4882	7996	68582
17	Switzerland	6273	6154	5262	5798	2769	2880	10079	3923	3971	3895	5722	6727	63453
18	Israel	3503	4947	4281	4990	2402	2088	4928	5651	5278	3327	2472	5569	49436
19	Malaysia	3221	3665	3977	2763	3124	3214	3308	3728	4524	2823	3622	3974	41943
20	Czech Republic	6238	7222	5254	2506	668	1151	2500	1696	1137	1604	3371	5014	38361
21	Belgium	3052	3571	3174	2537	1213	2007	7946	3798	3401	1724	2962	2890	38275
22	Pakistan	2386	2451	1677	1953	1884	8232	3850	2620	2024	2817	2869	2984	35747
23	Austria	4877	5012	3430	2179	1027	871	3568	2575	1465	1795	3471	5021	35291
24	Denmark	5364	4873	2796	2138	910	1530	4656	1345	1167	1708	2182	3661	32330
25	Sweden	4156	3910	2574	1233	564	1196	1405	631	746	1577	2415	7869	28276
26	Singapore	1852	1886	2355	1918	1968	3114	2150	2477	1763	1728	2474	3992	27677
27	New Zealand	1729	1308	1997	2550	1504	1937	2123	2055	2233	1849	2041	3412	24738
28	Norway	2891	2729	1993	1426	734	2925	3782	1000	958	1016	1751	3226	24431
29	South Korea	3826	2301	1824	1221	1115	1239	1941	1506	1175	1981	2230	2610	22969
30	Belarus	4392	3339	2922	1188	343	261	340	380	385	1223	3249	3442	21464
