Rank	Country	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
31	Kazakhstan	6365	5145	4074	273	272	192	246	131	217	459	587	2703	20664
32	Iran	1574	1534	7284	658	634	514	490	1368	2073	1223	1855	1437	20644
33	Ireland	1783	1941	2247	1799	788	1373	1588	1324	1043	1473	1686	2359	19404
34	Ukraine	3357	2580	2026	848	437	420	493	475	494	879	1449	2399	15857
35	Thailand	1130	1435	1831	2054	1139	961	989	1280	833	1305	1453	1431	15841
36	Turkey	1869	1391	1465	1443	678	1179	1063	1054	784	992	1386	1481	14785
37	Portugal	1276	1353	1546	1293	626	925	929	1315	869	1125	1877	1340	14474
38	Slovakia	2107	2388	1777	1162	385	296	612	636	590	824	1566	1689	14032
39	Hungary	2932	2400	1280	658	211	286	475	500	273	865	1177	1931	12988
40	Lithuania	2654	2955	2482	579	171	199	318	228	236	556	995	1528	12901
41	Romania	1741	1834	1398	1111	337	411	495	733	452	706	982	2610	12810
42	Philippines	686	821	980	1143	867	1289	1108	1143	1041	995	978	997	12048
43	Saudi Arabia	998	907	292	776	646	1650	2344	1020	645	572	1469	688	12007
44	South Africa	697	743	1217	844	393	693	752	784	708	696	716	2299	10542
45	Nepal	1314	882	616	811	685	552	824	835	829	1007	841	983	10179
46	United Arab Emirates	410	398	237	880	629	1311	1698	1382	734	836	712	725	9952
47	Finland	1545	1456	916	474	367	275	244	213	358	665	1238	1812	9563
48	Indonesia	504	835	570	694	689	648	636	778	809	653	1148	836	8800
49	Egypt	753	945	375	892	521	790	654	539	493	587	906	976	8431
50	Estonia	1825	1832	1447	344	39	49	45	31	84	307	666	1440	8109
51	Bulgaria	1290	1462	1206	601	159	77	86	100	129	461	1045	1345	7961
52	Greece	679	659	635	729	273	188	281	1183	326	411	769	1390	7523
53	Slovenia	773	1295	420	676	101	238	847	403	334	565	449	1074	7175
54	Latvia	1594	1250	1461	242	72	56	70	51	78	317	771	1198	7160
55	Lebanon	300	650	716	1024	385	571	531	484	424	352	665	873	6975
56	Seychelles	608	361	423	654	309	518	412	837	315	302	408	1012	6159
57	Jordan	358	524	414	523	318	659	537	364	328	569	575	727	5896
58	Oman	392	328	53	308	275	608	1203	861	384	355	340	293	5400
59	Armenia	771	459	550	252	134	142	289	259	245	747	549	701	5098
60	Serbia	706	602	547	449	88	142	191	180	172	301	437	497	4312
61	Myanmar	203	183	204	291	286	248	586	944	199	254	445	235	4078
62	Brazil	470	389	372	417	238	230	258	263	223	281	443	467	4051
63	Croatia	597	609	392	220	67	51	170	290	126	214	496	753	3985
64	Kuwait	405	426	189	357	183	421	417	439	261	181	195	310	3784
65	Vietnam	257	253	314	778	250	255	266	308	216	273	292	267	3729
66	Azerbaijan	312	243	736	165	93	161	241	230	151	177	638	261	3408
67	Viet Nam	166	270	304	235	290	237	279	293	183	202	346	158	2963
68	Iraq	185	188	79	147	166	281	233	376	383	258	180	205	2681
69	Bahrain	281	130	81	162	122	427	394	274	130	125	191	162	2479
70	Cyprus	178	142	172	222	82	95	341	619	81	127	138	264	2461
71	Cambodia	68	173	656	713	110	113	70	62	80	88	112	119	2364
72	Sudan	124	93	36	170	135	229	243	365	144	202	282	236	2259
73	Mexico	178	213	246	262	145	99	88	131	176	184	240	289	2251
74	Uzbekistan	542	204	135	104	86	80	124	85	96	151	115	483	2205
75	Morocco	144	205	100	226	167	164	178	244	167	182	165	238	2180
76	Malta	221	255	203	156	39	44	160	287	221	48	140	377	2151
77	Kenya	84	119	183	124	116	337	212	147	147	130	123	286	2008
78	Argentina	305	158	221	164	104	107	95	97	128	161	176	201	1917
79	Kyrgyzstan	390	345	183	74	104	48	88	88	110	67	174	246	1917
80	Tunisia	99	260	97	212	118	130	142	110	110	242	114	213	1847
81	Georgia	386	268	249	162	65	38	48	81	47	49	246	171	1810
82	Mauritius	97	143	120	141	81	62	114	117	67	90	300	394	1726
83	Qatar	74	91	55	206	86	189	315	261	53	71	70	150	1621
84	Luxembourg	143	182	172	195	60	31	147	253	50	50	150	185	1618
85	Colombia	99	114	153	150	96	87	120	111	84	129	125	137	1405
86	Moldova	264	333	165	99	19	11	23	22	21	64	122	236	1379
87	Bhutan	227	106	90	96	107	82	73	95	115	92	138	106	1327
88	Chile	101	138	163	114	83	55	115	81	70	94	104	123	1241
89	Palestinian Territories	43	95	31	129	74	134	198	144	33	74	134	143	1232
90	Algeria	44	81	29	58	59	85	77	103	89	64	76	211	976
91	Yemen	85	92	25	64	42	107	143	120	51	61	80	53	923
92	Tanzania	22	37	22	24	33	277	103	50	32	38	53	46	737
93	Bosnia and Herzegovina	74	112	51	85	35	30	28	33	40	34	40	94	656
94	Iceland	99	66	44	44	35	34	48	28	21	30	103	102	654
95	Peru	40	37	51	72	36	33	38	53	46	48	47	40	541
96	Macedonia	45	32	31	46	48	12	37	27	41	69	27	51	466
97	Uganda	34	47	24	40	37	33	46	30	33	30	35	35	424
98	Tajikistan	46	29	29	56	45	28	15	26	22	34	34	47	411
99	Fiji	45	32	21	46	19	20	28	22	28	35	45	58	399
100	Zimbabwe	47	27	35	29	22	40	20	25	28	30	38	37	378
101	Mongolia	43	10	19	20	28	33	18	34	46	19	44	55	369
102	Montenegro	57	30	37	33	7	3	10	11	3	22	43	103	359
103	Ethiopia	21	23	37	30	17	28	34	41	37	29	17	39	353
104	Saint Kitts and Nevis	32	28	28	32	14	33	12	33	25	23	36	39	335
105	Madagascar	28	21	31	21	22	55	47	21	14	13	24	23	320
106	Uruguay	32	42	44	54	32	17	10	13	23	18	14	16	315
107	Albania	24	39	23	24	24	10	19	43	20	18	21	27	292
108	Dominica	14	18	35	20	21	37	24	18	14	28	35	26	290
109	Venezuela	13	32	37	33	19	20	19	21	22	15	24	26	281
110	Afghanistan	32	36	20	21	30	4	16	21	10	11	8	68	277
111	Ecuador	15	25	16	20	20	20	23	12	26	23	23	42	265
112	Turkmenistan	32	14	25	21	12	20	28	13	10	61	12	14	262
113	Andorra	13	13	16	34	13	15	37	47	27	14	9	19	257
114	Nigeria	15	15	9	13	14	13	19	17	48	46	29	18	256
115	Lao People's Democratic Republic	37	31	17	14	18	28	21	13	23	7	9	9	227
116	Papua New Guinea	7	5	40	49	21	8	6	11	22	19	12	21	221
117	Liechtenstein	15	21	11	35	9	10	24	12	8	9	23	39	216
118	Trinidad and Tobago	14	24	18	10	14	14	19	17	20	18	31	16	215
119	Costa Rica	29	27	26	20	19	9	11	8	7	16	16	21	209
120	Comoros	9	7	5	6	16	21	32	29	16	24	18	9	192
121	Somalia	9	8	11	22	14	5	12	33	10	22	12	22	180
122	Ghana	11	8	12	6	4	15	6	13	45	15	14	20	169
123	Jamaica	7	16	20	3	10	16	14	10	17	14	8	13	148
124	Brunei Darussalam	13	12	11	10	20	16	24	12	2	3	4	17	144
125	Guatemala	8	13	7	13	16	11	6	8	13	13	14	22	144
126	Zambia	10	12	8	5	12	7	4	11	4	18	14	29	134
127	Libya	4	12	0	9	16	9	8	15	1	14	7	31	126
128	Vanuatu	8	5	11	7	6	16	7	16	9	17	9	15	126
129	Lao, People's Democratic	4	13	11	12	18	19	11	9	4	1	11	12	125
130	Cuba	9	5	15	3	3	13	6	12	13	7	5	11	102
131	Botswana	10	3	4	6	9	8	5	9	6	5	2	31	98
132	Malawi	6	4	8	5	8	8	13	8	3	10	14	10	97
133	Bolivia	8	10	4	7	7	7	7	8	9	8	10	8	93
134	Rwanda	7	9	9	8	1	5	5	10	18	4	5	10	91
135	Mozambique	9	8	5	3	9	7	1	2	9	4	4	26	87
136	Grenada	1	2	6	3	1	11	11	8	5	5	14	8	75
137	Antigua and Barbuda	6	8	5	6	4	1	10	2	2	11	5	14	74
138	Dominican Republic	11	2	3	5	12	5	3	4	3	9	9	8	74
139	Panama	6	13	9	4	4	1	4	4	8	5	8	5	71
140	San Marino	8	4	3	2	4	9	1	3	3	4	12	17	70
141	Senegal	9	6	2	7	5	8	7	6	4	4	6	6	70
142	Namibia	3	16	7	4	7	2	8	3	4	1	2	12	69
143	Timor-Leste	6	8	4	6	3	3	2	2	3	10	10	12	69
144	Kosovo	9	12	3	7	4	1	4	3	4	2	16	2	67
145	Barbados	3	2	17	3	1	7	4	5	4	7	3	10	66
146	Saint Lucia	5	4	7	7	1	5	2	3	4	17	1	5	61
147	Bahamas	0	5	6	1	1	4	4	5	7	17	3	6	59
148	El Salvador	3	6	5	1	4	6	5	5	8	3	6	5	57
149	Guyana	5	6	10	2	3	3	6	2	3	10	4	2	56
150	Monaco	9	13	4	3	3	0	8	2	1	3	2	5	53
151	Honduras	2	3	2	3	5	7	2	3	6	6	6	7	52
152	Paraguay	7	4	8	5	6	3	3	3	2	5	4	2	52
153	Sierra Leone	7	3	8	5	2	1	7	3	2	3	3	5	49
154	Kosovar	1	4	3	3	5	2	1	1	6	3	4	12	45
155	Belize	1	2	7	4	3	2	8	4	2	4	2	5	44
156	Angola	8	3	3	3	5	0	4	5	1	2	5	2	41
157	Benin	0	0	4	4	3	2	1	6	6	6	5	4	41
158	Swaziland	3	0	2	0	3	0	3	4	3	5	4	14	41
159	Cameroon	3	5	6	2	2	1	3	1	4	4	2	5	38
160	Suriname	2	3	3	7	2	3	3	5	3	0	2	5	38
161	Central African Republic	0	0	31	0	0	0	1	1	2	0	0	2	37
162	Eritrea	3	2	2	3	3	7	1	1	1	3	4	7	37
163	Syrian Arab Republic	4	10	1	7	3	1	0	0	1	1	3	5	36
164	Palau	0	0	0	1	0	0	0	0	33	0	0	1	35
165	Democratic Republic of  Congo	0	2	5	1	3	4	1	5	5	2	2	4	34
166	Congo	2	5	0	0	2	3	2	3	0	0	4	12	33
167	Mali	1	1	2	2	4	3	2	3	13	2	0	0	33
168	Nicaragua	1	4	7	2	1	3	0	2	3	1	2	5	31
169	Djibouti	3	5	5	0	3	1	4	2	2	3	2	0	30
170	Haiti	1	1	1	2	1	1	3	1	3	3	11	2	30
171	Guinea	2	2	1	4	3	5	1	3	2	1	0	3	27
172	Lesotho	1	1	3	2	5	0	1	1	4	1	0	6	25
173	Liberia	1	5	1	0	0	1	4	1	4	2	5	1	25
174	Solomon Islands	0	1	1	0	1	3	2	2	3	3	5	2	23
175	Mauritania	0	0	6	4	4	1	2	0	2	3	0	0	22
176	Togo	0	0	3	0	1	1	1	6	3	3	4	0	22
177	Burkina Faso	2	1	1	1	4	2	2	0	4	2	1	1	21
178	Republic of Congo	6	0	1	0	2	1	1	0	4	0	2	4	21
179	Gambia, The	0	2	0	2	4	2	1	3	1	0	1	3	19
180	Tonga	1	0	0	2	4	5	1	2	0	1	3	0	19
181	Chad	0	0	1	0	2	7	1	1	1	2	0	3	18
182	Burundi	2	0	1	0	1	2	0	1	6	0	2	1	16
183	The Gambia	0	3	0	0	1	3	1	4	3	1	0	0	16
184	Cote d'lvoire	1	0	3	0	3	0	1	2	1	1	1	2	15
185	South Sudan	5	2	1	0	0	1	0	1	0	3	1	1	15
186	Cape Verde	0	0	3	0	1	2	1	3	1	2	0	0	13
187	Cote Divoire	0	1	2	0	0	0	0	1	0	2	5	0	11
188	Saint Vincent and the Grenadi	1	0	0	0	7	1	0	0	1	0	0	0	10
189	Equatorial Guinea	0	0	0	6	1	0	0	0	2	0	0	0	9
190	Samoa	0	0	3	1	0	1	1	0	0	1	1	1	9
191	Guinea-Bissau	3	0	1	0	0	0	1	0	2	1	0	0	8
192	Gabon	0	0	0	0	1	0	0	0	3	0	1	0	5
193	Niger	1	1	0	1	0	1	0	1	0	0	0	0	5
194	Saint Vincent The Grenadi	0	1	0	0	1	0	1	0	0	1	0	1	5
195	Kiribati	0	0	1	0	0	0	0	0	2	0	0	0	3
196	Marshall Islands	2	0	0	0	0	0	0	0	0	1	0	0	3
197	Micronesia	0	0	1	0	0	0	0	1	0	1	0	0	3
198	Nauru	0	0	2	0	0	0	0	1	0	0	0	0	3
199	Netherlands Antilles	0	0	0	0	0	0	0	0	1	0	1	0	2
200	North Korea	0	0	0	0	0	0	0	0	0	2	0	0	2
201	Tuvalu	0	0	0	0	0	2	0	0	0	0	0	0	2
202	Saint Barthelemy	0	0	0	0	0	0	1	0	0	0	0	0	1
203	Sao Tome and Principe	0	0	0	0	1	0	0	0	0	0	0	0	1
204	TUVALU	0	0	0	0	0	0	0	0	0	0	0	1	1
205	Vatican City	0	0	0	0	0	0	0	1	0	0	0	0	1
-	Total	461014	458567	438479	323475	245047	251711	388054	362844	281111	301100	397064	507520	4415986
