Rank	Country	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
51	Estonia	915	934	757	108	28	19	21	16	39	176	432	864	4309
52	Bulgaria	634	838	748	288	88	51	52	57	97	228	557	624	4262
53	Vietnam	257	253	314	778	250	255	266	308	216	273	292	267	3729
54	Slovenia	498	684	226	338	55	123	430	217	146	268	249	464	3698
55	Latvia	844	596	791	96	50	26	40	28	49	165	336	569	3590
56	Lebanon	145	357	474	353	169	263	248	240	261	242	333	452	3537
57	Seychelles	397	212	225	365	192	280	190	510	119	159	241	578	3468
58	Jordan	178	297	329	210	169	286	262	191	177	254	351	369	3073
59	Oman	156	212	25	183	136	286	518	388	199	200	170	152	2625
60	Myanmar	97	82	94	166	203	131	392	527	166	172	380	153	2563
61	Armenia	261	195	224	124	74	71	161	123	138	376	320	397	2464
62	Serbia	392	309	308	227	56	90	100	73	69	154	256	263	2297
63	Croatia	316	360	192	150	32	28	92	157	31	104	279	385	2126
64	Brazil	234	177	213	178	132	119	124	134	123	156	257	259	2106
65	Kuwait	174	204	130	132	106	190	219	232	142	111	99	160	1899
66	Iraq	131	114	58	89	65	188	114	204	302	194	101	109	1669
67	Azerbaijan	149	86	267	64	54	78	91	133	51	79	200	121	1373
68	Sudan	70	52	22	102	66	113	121	288	82	90	172	140	1318
69	Bahrain	159	49	52	77	54	230	232	134	76	61	105	81	1310
70	Cyprus	87	80	105	110	51	38	150	312	36	75	88	135	1267
71	Kenya	42	55	103	79	71	308	84	93	68	88	61	149	1201
72	Mexico	82	118	135	107	88	61	44	73	76	94	153	152	1183
73	Cambodia	26	132	125	551	28	63	46	37	25	29	59	60	1181
74	Malta	129	130	78	118	18	30	99	151	113	25	87	173	1151
75	Morocco	82	102	65	95	108	84	91	132	89	82	91	117	1138
76	Uzbekistan	140	134	64	47	54	38	60	57	65	81	59	188	987
77	Argentina	164	79	101	62	60	56	45	54	83	70	110	102	986
78	Mauritius	49	90	77	82	56	37	81	60	47	69	180	143	971
79	Qatar	33	46	39	107	47	109	159	159	34	38	36	68	875
80	Tunisia	43	124	70	60	61	71	63	56	65	77	72	105	867
81	Luxembourg	73	96	68	114	23	18	70	144	37	21	88	102	854
82	Kyrgyzstan	151	126	75	24	72	23	23	67	75	33	79	100	848
83	Georgia	170	81	101	30	26	12	18	55	20	25	147	101	786
84	Colombia	45	44	84	62	56	43	69	60	58	67	73	78	739
85	Chile	45	77	86	61	41	23	79	39	38	54	70	76	689
86	Moldova	130	167	73	18	11	9	10	11	15	46	67	99	656
87	Palestinian Territories	18	34	23	72	43	53	102	79	33	38	71	66	632
88	Bhutan	92	39	22	72	55	49	44	44	70	51	58	16	612
89	Algeria	26	43	19	20	31	37	23	54	64	38	48	174	577
90	Yemen	56	27	14	38	28	64	70	75	40	40	40	26	518
91	Tanzania	10	12	7	13	19	259	29	35	12	20	24	29	469
92	Bosnia and Herzegovina	37	46	34	67	20	20	10	14	14	20	22	46	350
93	Iceland	58	38	18	28	13	28	19	7	9	10	45	58	331
94	Peru	16	24	27	30	20	22	22	28	33	16	24	32	294
95	Tajikistan	28	21	18	46	35	16	4	6	14	17	19	38	262
96	Mongolia	28	4	12	16	20	11	8	33	26	17	29	36	240
97	Fiji	29	23	10	20	6	11	19	15	26	25	19	33	236
98	Uganda	23	14	9	11	21	20	28	17	23	22	20	20	228
99	Lao People's Democratic Republic	37	31	17	14	18	28	21	13	23	7	9	9	227
100	Ethiopia	13	17	27	13	11	15	23	27	25	17	8	26	222
101	Macedonia	25	8	15	23	19	2	12	13	25	39	12	20	213
102	Uruguay	20	26	33	46	12	12	7	9	16	14	8	10	213
103	Montenegro	23	11	20	15	5	0	4	2	2	17	31	60	190
104	Saint Kitts and Nevis	15	16	18	6	4	23	4	25	16	14	22	20	183
105	Madagascar	15	11	12	14	17	48	19	10	8	3	9	11	177
106	Albania	17	33	10	14	13	3	8	30	14	10	11	12	175
107	Zimbabwe	11	15	10	13	11	26	7	14	25	16	12	15	175
108	Turkmenistan	21	9	16	13	9	19	14	7	8	40	6	9	171
109	Dominica	7	9	21	12	10	28	7	12	12	14	17	17	166
110	Nigeria	14	4	6	4	14	12	10	12	30	39	10	5	160
111	Ecuador	6	12	9	11	12	11	12	11	15	10	16	24	149
112	Papua New Guinea	4	4	12	46	21	4	4	6	13	13	5	7	139
113	Venezuela	10	15	18	8	13	9	11	12	14	5	10	9	134
114	Andorra	10	7	6	33	6	9	17	22	4	0	6	6	126
115	Liechtenstein	8	12	6	25	7	7	14	7	5	2	9	22	124
116	Trinidad and Tobago	8	8	4	2	4	7	14	11	16	10	17	12	113
117	Costa Rica	9	13	15	9	12	6	8	6	5	11	7	10	111
118	Ghana	8	4	8	3	3	15	2	9	39	4	6	10	111
119	Comoros	3	1	2	4	6	13	15	15	11	11	14	6	101
120	Zambia	9	9	2	4	10	6	4	8	3	7	6	16	84
121	Somalia	3	4	1	14	9	1	6	14	3	10	4	13	82
122	Guatemala	6	3	5	7	10	6	5	5	9	9	8	8	81
123	Afghanistan	6	15	2	21	10	2	1	3	5	4	3	7	79
124	Brunei Darussalam	12	1	2	6	17	1	17	6	2	1	3	11	79
125	Kosovo	9	12	3	7	4	1	4	3	4	2	16	2	67
126	Vanuatu	7	3	5	3	4	3	1	7	4	11	6	11	65
127	Jamaica	3	5	2	2	3	4	7	5	5	5	3	9	53
128	Libya	2	5	0	6	5	5	6	9	1	9	2	1	51
129	Senegal	5	4	2	4	5	7	5	6	4	2	2	1	47
130	Cuba	3	4	5	2	2	3	2	6	7	3	2	6	45
131	Rwanda	6	3	6	6	0	0	1	8	10	1	0	4	45
132	Botswana	7	1	1	4	8	3	2	2	4	1	1	10	44
133	Malawi	3	4	3	2	4	7	3	6	1	5	3	3	44
134	Timor-Leste	2	8	1	0	1	1	2	2	3	9	6	5	40
135	Dominican Republic	3	1	0	4	8	2	2	2	2	4	9	2	39
136	Mozambique	7	6	0	2	2	3	0	1	7	1	3	7	39
137	Bahamas	0	5	2	1	1	1	1	5	6	13	2	1	38
138	Bolivia	0	3	2	1	2	3	5	2	6	5	3	6	38
139	Grenada	0	2	4	1	1	6	9	3	2	2	7	1	38
140	San Marino	2	4	3	2	2	5	1	2	1	1	4	9	36
141	Panama	2	6	4	1	2	1	1	3	4	2	7	2	35
142	Democratic Republic of  Congo	0	2	5	1	3	4	1	5	5	2	2	4	34
143	Honduras	1	2	1	1	3	7	0	1	4	4	4	5	33
144	Namibia	0	11	2	1	7	0	2	3	2	0	0	5	33
145	Paraguay	5	2	4	3	4	2	2	3	2	4	1	1	33
146	Saint Lucia	4	3	5	7	1	1	1	2	3	2	1	2	32
147	Guyana	5	5	6	2	3	0	5	0	0	1	2	0	29
148	Antigua and Barbuda	3	3	0	3	3	1	5	0	1	2	2	5	28
149	Benin	0	0	4	3	1	1	0	6	4	6	2	1	28
150	El Salvador	1	2	1	0	3	1	1	4	5	1	4	2	25
151	Barbados	3	1	4	1	1	2	0	2	4	0	2	3	23
152	Nicaragua	0	3	6	1	1	2	0	2	2	1	1	4	23
153	Sierra Leone	5	1	6	2	2	0	3	0	1	1	1	1	23
154	Suriname	0	3	3	4	2	2	1	3	3	0	0	2	23
155	Mali	1	0	1	1	4	2	1	1	10	1	0	0	22
156	Monaco	4	2	3	0	3	0	4	0	0	0	2	3	21
157	Republic of Congo	6	0	1	0	2	1	1	0	4	0	2	4	21
158	Belize	0	0	3	2	3	1	4	3	1	2	0	1	20
159	Angola	0	3	1	2	0	0	4	3	0	0	2	2	17
160	Cameroon	2	1	2	1	2	1	1	1	4	0	0	2	17
161	Eritrea	2	1	1	0	1	1	1	1	1	2	1	5	17
162	Burkina Faso	2	1	1	0	3	2	2	0	4	0	1	0	16
163	The Gambia	0	3	0	0	1	3	1	4	3	1	0	0	16
164	Cote d'lvoire	1	0	3	0	3	0	1	2	1	1	1	2	15
165	Chad	0	0	0	0	2	7	1	0	1	1	0	1	13
166	Liberia	1	4	1	0	0	0	0	0	3	0	3	1	13
167	Mauritania	0	0	2	3	3	1	2	0	1	1	0	0	13
168	Swaziland	1	0	1	0	1	0	0	0	2	0	0	8	13
169	Togo	0	0	2	0	0	0	1	3	3	1	3	0	13
170	Djibouti	2	1	0	0	3	0	4	0	0	0	2	0	12
171	Guinea	2	0	1	2	2	0	1	1	2	0	0	1	12
172	Haiti	0	1	1	2	1	0	1	1	2	0	2	1	12
173	Solomon Islands	0	0	1	0	1	2	1	1	0	2	3	1	12
174	Cape Verde	0	0	3	0	1	2	0	2	1	2	0	0	11
175	Syrian Arab Republic	2	0	1	0	0	0	0	0	1	0	2	5	11
176	Lesotho	1	0	0	2	5	0	0	0	1	1	0	0	10
177	Saint Vincent and the Grenadi	1	0	0	0	7	1	0	0	1	0	0	0	10
178	Burundi	2	0	0	0	0	1	0	0	3	0	1	0	7
179	Samoa	0	0	3	1	0	0	1	0	0	0	1	1	7
180	South Sudan	2	1	1	0	0	1	0	0	0	0	0	1	6
181	Central African Republic	0	0	2	0	0	0	0	0	2	0	0	1	5
182	Guinea-Bissau	3	0	0	0	0	0	0	0	0	1	0	0	4
183	Equatorial Guinea	0	0	0	0	1	0	0	0	2	0	0	0	3
184	Gabon	0	0	0	0	1	0	0	0	1	0	1	0	3
185	Niger	1	0	0	0	0	1	0	1	0	0	0	0	3
186	Tonga	0	0	0	0	1	1	0	1	0	0	0	0	3
187	Kiribati	0	0	0	0	0	0	0	0	2	0	0	0	2
188	North Korea	0	0	0	0	0	0	0	0	0	2	0	0	2
189	Marshall Islands	1	0	0	0	0	0	0	0	0	0	0	0	1
190	Nauru	0	0	0	0	0	0	0	1	0	0	0	0	1
191	Palau	0	0	0	1	0	0	0	0	0	0	0	0	1
192	Saint Barthelemy	0	0	0	0	0	0	1	0	0	0	0	0	1
193	Sao Tome and Principe	0	0	0	0	1	0	0	0	0	0	0	0	1
194	TUVALU	0	0	0	0	0	0	0	0	0	0	0	1	1
195	Vatican City	0	0	0	0	0	0	0	1	0	0	0	0	1
-	Total	252761	240217	229298	174608	132919	138241	200244	198235	158971	165193	212906	258928	2362521
