Rank	Country	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
1	India	43375	35728	39212	38744	47001	37934	37128	46473	49697	48113	51391	56715	531511
2	United Kingdom	21730	25528	22447	17348	9221	11628	23475	19764	10752	12934	16915	20535	212277
3	Russian Federation	34096	30295	29177	13525	3328	1891	3158	3446	3228	11496	24953	27987	186580
4	Germany	15050	17233	17918	11654	7223	5498	10568	12500	9344	9753	14518	16707	147966
5	China	16709	11690	11114	8667	8803	8804	12982	12294	10527	10864	9217	10364	132035
6	Australia	9563	8778	9012	10744	5929	7299	9117	7833	9105	7903	9384	14820	109487
7	France	12619	15469	15278	8276	5470	4345	11059	10495	5144	5157	8459	7270	109041
8	United States	7067	6439	7676	4202	3607	5422	5222	4970	3569	3991	5284	8524	65973
9	Netherlands	6484	5589	4838	4476	2329	2423	15556	6082	4433	3441	3938	4575	64164
10	Bangladesh	4626	5262	4713	5428	7282	5826	3274	4074	4953	5521	4151	4453	59563
11	Italy	4778	4115	3524	3633	1333	2174	4886	12247	2340	1913	3005	6482	50430
12	Poland	7585	8519	5661	2098	1078	1138	3469	3404	2654	2182	5331	6870	49989
13	Canada	4458	4550	4219	3238	3412	4239	5462	4333	2513	2444	3327	3938	46133
14	Spain	2696	2528	2548	3144	1593	2331	5912	8843	4841	3692	4666	3244	46038
15	Japan	2631	3527	3708	2374	2126	2093	3076	5127	4137	2253	2704	4397	38153
16	Maldives	2999	2843	1932	2516	3006	3157	4755	3003	3930	2780	2357	3887	37165
17	Switzerland	3322	3266	2740	3241	1424	1589	4990	2067	2193	2079	3232	3481	33624
18	Israel	2730	2959	2069	1821	896	573	1966	2403	2136	1929	1594	3515	24591
19	Malaysia	2125	1415	2256	1486	1920	1830	1712	2157	2570	1810	2155	2248	23684
20	Pakistan	1430	1152	736	1156	946	6833	2002	1580	1468	1677	1721	1595	22296
21	Belgium	1739	1994	1609	1623	664	1135	4511	2047	1732	877	1572	1553	21056
22	Czech Republic	2754	3370	2266	1227	354	625	1367	874	641	875	2014	2715	19082
23	Austria	2492	2640	1756	1087	483	487	1846	1425	708	878	1766	2620	18188
24	Denmark	2822	2713	1299	1316	500	816	2509	739	601	969	1146	1948	17378
25	Singapore	1048	1024	1189	1060	1054	1830	1297	1262	1053	1011	1277	1981	15086
26	Sweden	2235	2007	1243	696	286	628	689	341	401	861	1283	4193	14863
27	New Zealand	997	741	965	1434	840	1084	1106	1044	1200	1069	1126	1850	13456
28	Norway	1665	1400	960	878	355	1473	1982	514	515	574	968	1748	13032
29	South Korea	2149	1471	963	584	544	660	932	808	567	1105	1042	1344	12169
30	Ireland	986	1067	1239	953	473	700	873	738	609	767	983	1269	10657
31	Belarus	2050	1455	1257	436	148	86	137	181	208	719	1820	2034	10531
32	Iran	886	615	3695	232	354	196	151	485	846	632	1051	643	9786
33	Kazakhstan	3015	2463	1808	121	207	96	78	60	118	246	298	771	9281
34	Ukraine	1872	1387	1119	411	234	214	279	272	303	529	895	1243	8758
35	Thailand	625	719	903	1220	556	597	506	682	449	724	831	783	8595
36	Turkey	1152	728	992	533	384	607	660	606	423	583	766	678	8112
37	Portugal	789	699	876	763	312	644	578	648	459	492	1021	704	7985
38	Slovakia	1117	1209	832	627	212	133	320	346	335	385	830	976	7322
39	Philippines	424	381	585	565	472	745	608	678	643	588	580	512	6781
40	Lithuania	1639	1354	1263	178	102	126	144	117	144	271	507	661	6506
41	Hungary	1388	1089	695	421	133	126	265	239	136	434	529	953	6408
42	Romania	888	894	760	456	190	219	231	397	198	352	451	1367	6403
43	Saudi Arabia	487	358	201	416	433	660	1068	690	326	321	825	335	6120
44	Nepal	689	374	307	527	403	352	442	583	595	455	455	534	5716
45	South Africa	365	393	669	370	198	344	419	460	409	437	396	1210	5670
46	United Arab Emirates	191	171	165	502	400	720	862	820	464	532	430	399	5656
47	Finland	808	790	452	236	208	145	150	113	193	450	704	1038	5287
48	Indonesia	280	515	313	446	471	376	361	487	378	356	616	457	5056
49	Greece	415	395	330	423	140	106	162	844	220	269	509	857	4670
50	Egypt	357	469	276	434	298	425	328	274	261	305	450	485	4362
