Rank	Country	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
42	Saudi Arabia	511	549	91	360	213	990	1276	330	319	251	644	353	5887
43	Philippines	262	440	395	578	395	544	500	465	398	407	398	485	5267
44	South Africa	332	350	548	474	195	349	333	324	299	259	320	1089	4872
45	Nepal	625	508	309	284	282	200	382	252	234	552	386	449	4463
46	United Arab Emirates	219	227	72	378	229	591	836	562	270	304	282	326	4296
47	Finland	737	666	464	238	159	130	94	100	165	215	534	774	4276
48	Egypt	396	476	99	458	223	365	326	265	232	282	456	491	4069
49	Estonia	910	898	690	236	11	30	24	15	45	131	234	576	3800
50	Indonesia	224	320	257	248	218	272	275	291	431	297	532	379	3744
51	Bulgaria	656	624	458	313	71	26	34	43	32	233	488	721	3699
52	Latvia	750	654	670	146	22	30	30	23	29	152	435	629	3570
53	Slovenia	275	611	194	338	46	115	417	186	188	297	200	610	3477
54	Lebanon	155	293	242	671	216	308	283	244	163	110	332	421	3438
55	Viet Nam	166	270	304	235	290	237	279	293	183	202	346	158	2963
56	Greece	264	264	305	306	133	82	119	339	106	142	260	533	2853
57	Jordan	180	227	85	313	149	373	275	173	151	315	224	358	2823
58	Oman	236	116	28	125	139	322	685	473	185	155	170	141	2775
59	Seychelles	211	149	198	289	117	238	222	327	196	143	167	434	2691
60	Armenia	510	264	326	128	60	71	128	136	107	371	229	304	2634
61	Azerbaijan	163	157	469	101	39	83	150	97	100	98	438	140	2035
62	Serbia	314	293	239	222	32	52	91	107	103	147	181	234	2015
63	Brazil	236	212	159	239	106	111	134	129	100	125	186	208	1945
64	Kuwait	231	222	59	225	77	231	198	207	119	70	96	150	1885
65	Croatia	281	249	200	70	35	23	78	133	95	110	217	368	1859
66	Myanmar	106	101	110	125	83	117	194	417	33	82	65	82	1515
67	Uzbekistan	402	70	71	57	32	42	64	28	31	70	56	295	1218
68	Cyprus	91	62	67	112	31	57	191	307	45	52	50	129	1194
69	Cambodia	42	41	531	162	82	50	24	25	55	59	53	59	1183
70	Bahrain	122	81	29	85	68	197	162	140	54	64	86	81	1169
71	Kyrgyzstan	239	219	108	50	32	25	65	21	35	34	95	146	1069
72	Mexico	96	95	111	155	57	38	44	58	100	90	87	137	1068
73	Morocco	62	103	35	131	59	80	87	112	78	100	74	121	1042
74	Georgia	216	187	148	132	39	26	30	26	27	24	99	70	1024
75	Iraq	54	74	21	58	101	93	119	172	81	64	79	96	1012
76	Malta	92	125	125	38	21	14	61	136	108	23	53	204	1000
77	Tunisia	56	136	27	152	57	59	79	54	45	165	42	108	980
78	Sudan	54	41	14	68	69	116	122	77	62	112	110	96	941
79	Argentina	141	79	120	102	44	51	50	43	45	91	66	99	931
80	Kenya	42	64	80	45	45	29	128	54	79	42	62	137	807
81	Luxembourg	70	86	104	81	37	13	77	109	13	29	62	83	764
82	Mauritius	48	53	43	59	25	25	33	57	20	21	120	251	755
83	Qatar	41	45	16	99	39	80	156	102	19	33	34	82	746
84	Moldova	134	166	92	81	8	2	13	11	6	18	55	137	723
85	Bhutan	135	67	68	24	52	33	29	51	45	41	80	90	715
86	Colombia	54	70	69	88	40	44	51	51	26	62	52	59	666
87	Palestinian Territories	25	61	8	57	31	81	96	65	0	36	63	77	600
88	Chile	56	61	77	53	42	32	36	42	32	40	34	47	552
89	Yemen	29	65	11	26	14	43	73	45	11	21	40	27	405
90	Algeria	18	38	10	38	28	48	54	49	25	26	28	37	399
91	Iceland	41	28	26	16	22	6	29	21	12	20	58	44	323
92	Bosnia and Herzegovina	37	66	17	18	15	10	18	19	26	14	18	48	306
93	Tanzania	12	25	15	11	14	18	74	15	20	18	29	17	268
94	Macedonia	20	24	16	23	29	10	25	14	16	30	15	31	253
95	Peru	24	13	24	42	16	11	16	25	13	32	23	8	247
96	Zimbabwe	36	12	25	16	11	14	13	11	3	14	26	22	203
97	Afghanistan	26	21	18	0	20	2	15	18	5	7	5	61	198
98	Uganda	11	33	15	29	16	13	18	13	10	8	15	15	196
99	Montenegro	34	19	17	18	2	3	6	9	1	5	12	43	169
100	Fiji	16	9	11	26	13	9	9	7	2	10	26	25	163
101	Saint Kitts and Nevis	17	12	10	26	10	10	8	8	9	9	14	19	152
102	Tajikistan	18	8	11	10	10	12	11	20	8	17	15	9	149
103	Venezuela	3	17	19	25	6	11	8	9	8	10	14	17	147
104	Madagascar	13	10	19	7	5	7	28	11	6	10	15	12	143
105	Andorra	3	6	10	1	7	6	20	25	23	14	3	13	131
106	Ethiopia	8	6	10	17	6	13	11	14	12	12	9	13	131
107	Mongolia	15	6	7	4	8	22	10	1	20	2	15	19	129
108	Lao, People's Democratic	4	13	11	12	18	19	11	9	4	1	11	12	125
109	Dominica	7	9	14	8	11	9	17	6	2	14	18	9	124
110	Albania	7	6	13	10	11	7	11	13	6	8	10	15	117
111	Ecuador	9	13	7	9	8	9	11	1	11	13	7	18	116
112	Trinidad and Tobago	6	16	14	8	10	7	5	6	4	8	14	4	102
113	Uruguay	12	16	11	8	20	5	3	4	7	4	6	6	102
114	Costa Rica	20	14	11	11	7	3	3	2	2	5	9	11	98
115	Somalia	6	4	10	8	5	4	6	19	7	12	8	9	98
116	Nigeria	1	11	3	9	0	1	9	5	18	7	19	13	96
117	Jamaica	4	11	18	1	7	12	7	5	12	9	5	4	95
118	Liechtenstein	7	9	5	10	2	3	10	5	3	7	14	17	92
119	Comoros	6	6	3	2	10	8	17	14	5	13	4	3	91
120	Turkmenistan	11	5	9	8	3	1	14	6	2	21	6	5	91
121	Papua New Guinea	3	1	28	3	0	4	2	5	9	6	7	14	82
122	Libya	2	7	0	3	11	4	2	6	0	5	5	30	75
123	Brunei Darussalam	1	11	9	4	3	15	7	6	0	2	1	6	65
124	Guatemala	2	10	2	6	6	5	1	3	4	4	6	14	63
125	Vanuatu	1	2	6	4	2	13	6	9	5	6	3	4	61
126	Ghana	3	4	4	3	1	0	4	4	6	11	8	10	58
127	Cuba	6	1	10	1	1	10	4	6	6	4	3	5	57
128	Bolivia	8	7	2	6	5	4	2	6	3	3	7	2	55
129	Botswana	3	2	3	2	1	5	3	7	2	4	1	21	54
130	Malawi	3	0	5	3	4	1	10	2	2	5	11	7	53
131	Zambia	1	3	6	1	2	1	0	3	1	11	8	13	50
132	Mozambique	2	2	5	1	7	4	1	1	2	3	1	19	48
133	Antigua and Barbuda	3	5	5	3	1	0	5	2	1	9	3	9	46
134	Rwanda	1	6	3	2	1	5	4	2	8	3	5	6	46
135	Kosovar	1	4	3	3	5	2	1	1	6	3	4	12	45
136	Barbados	0	1	13	2	0	5	4	3	0	7	1	7	43
137	Grenada	1	0	2	2	0	5	2	5	3	3	7	7	37
138	Namibia	3	5	5	3	0	2	6	0	2	1	2	7	36
139	Panama	4	7	5	3	2	0	3	1	4	3	1	3	36
140	Dominican Republic	8	1	3	1	4	3	1	2	1	5	0	6	35
141	Palau	0	0	0	0	0	0	0	0	33	0	0	1	34
142	San Marino	6	0	0	0	2	4	0	1	2	3	8	8	34
143	Congo	2	5	0	0	2	3	2	3	0	0	4	12	33
144	Central African Republic	0	0	29	0	0	0	1	1	0	0	0	1	32
145	El Salvador	2	4	4	1	1	5	4	1	3	2	2	3	32
146	Monaco	5	11	1	3	0	0	4	2	1	3	0	2	32
147	Saint Lucia	1	1	2	0	0	4	1	1	1	15	0	3	29
148	Timor-Leste	4	0	3	6	2	2	0	0	0	1	4	7	29
149	Swaziland	2	0	1	0	2	0	3	4	1	5	4	6	28
150	Guyana	0	1	4	0	0	3	1	2	3	9	2	2	27
151	Sierra Leone	2	2	2	3	0	1	4	3	1	2	2	4	26
152	Syrian Arab Republic	2	10	0	7	3	1	0	0	0	1	1	0	25
153	Angola	8	0	2	1	5	0	0	2	1	2	3	0	24
154	Belize	1	2	4	2	0	1	4	1	1	2	2	4	24
155	Senegal	4	2	0	3	0	1	2	0	0	2	4	5	23
156	Bahamas	0	0	4	0	0	3	3	0	1	4	1	5	21
157	Cameroon	1	4	4	1	0	0	2	0	0	4	2	3	21
158	Eritrea	1	1	1	3	2	6	0	0	0	1	3	2	20
159	Gambia, The	0	2	0	2	4	2	1	3	1	0	1	3	19
160	Honduras	1	1	1	2	2	0	2	2	2	2	2	2	19
161	Paraguay	2	2	4	2	2	1	1	0	0	1	3	1	19
162	Djibouti	1	4	5	0	0	1	0	2	2	3	0	0	18
163	Haiti	1	0	0	0	0	1	2	0	1	3	9	1	18
164	Tonga	1	0	0	2	3	4	1	1	0	1	3	0	16
165	Guinea	0	2	0	2	1	5	0	2	0	1	0	2	15
166	Lesotho	0	1	3	0	0	0	1	1	3	0	0	6	15
167	Suriname	2	0	0	3	0	1	2	2	0	0	2	3	15
168	Benin	0	0	0	1	2	1	1	0	2	0	3	3	13
169	Liberia	0	1	0	0	0	1	4	1	1	2	2	0	12
170	Cote Divoire	0	1	2	0	0	0	0	1	0	2	5	0	11
171	Mali	0	1	1	1	0	1	1	2	3	1	0	0	11
172	Solomon Islands	0	1	0	0	0	1	1	1	3	1	2	1	11
173	Burundi	0	0	1	0	1	1	0	1	3	0	1	1	9
174	Mauritania	0	0	4	1	1	0	0	0	1	2	0	0	9
175	South Sudan	3	1	0	0	0	0	0	1	0	3	1	0	9
176	Togo	0	0	1	0	1	1	0	3	0	2	1	0	9
177	Nicaragua	1	1	1	1	0	1	0	0	1	0	1	1	8
178	Equatorial Guinea	0	0	0	6	0	0	0	0	0	0	0	0	6
179	Burkina Faso	0	0	0	1	1	0	0	0	0	2	0	1	5
180	Chad	0	0	1	0	0	0	0	1	0	1	0	2	5
181	Saint Vincent The Grenadi	0	1	0	0	1	0	1	0	0	1	0	1	5
182	Guinea-Bissau	0	0	1	0	0	0	1	0	2	0	0	0	4
183	Micronesia	0	0	1	0	0	0	0	1	0	1	0	0	3
184	Cape Verde	0	0	0	0	0	0	1	1	0	0	0	0	2
185	Gabon	0	0	0	0	0	0	0	0	2	0	0	0	2
186	Marshall Islands	1	0	0	0	0	0	0	0	0	1	0	0	2
187	Nauru	0	0	2	0	0	0	0	0	0	0	0	0	2
188	Netherlands Antilles	0	0	0	0	0	0	0	0	1	0	1	0	2
189	Niger	0	1	0	1	0	0	0	0	0	0	0	0	2
190	Samoa	0	0	0	0	0	1	0	0	0	1	0	0	2
191	Tuvalu	0	0	0	0	0	2	0	0	0	0	0	0	2
192	Kiribati	0	0	1	0	0	0	0	0	0	0	0	0	1
-	Total	208253	218350	209181	148867	112128	113470	187810	164609	122140	135907	184158	248592	2053465
