Rank	Country	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
1	India	34399	30027	31853	27304	32254	28631	41173	33031	27884	36417	41120	52881	416974
2	Russian Federation	31159	32030	28016	15103	4384	3412	4578	4351	4199	10367	29053	35268	201920
3	United Kingdom	16665	20614	21540	13173	8094	9266	20837	17587	8688	10206	12912	18757	178339
4	Germany	13593	16259	18324	9843	7495	4556	10618	10623	8260	9217	12593	14703	136084
5	China	12528	16279	13836	8969	7930	9222	13685	12088	9685	9164	8371	9924	131681
6	Australia	6645	6265	8852	7202	5465	6317	7371	6687	7200	6523	7937	13109	89573
7	France	9919	12503	10960	8792	4064	3102	9405	8596	3749	4688	6665	6332	88775
8	United States	5712	5709	7617	5574	4082	4023	4962	3539	2460	3170	4472	8212	59532
9	Netherlands	4531	4011	3707	3437	1845	1935	11431	5355	3725	2859	3387	3893	50116
10	Maldives	2919	3235	1562	2938	8040	5109	3097	3198	4359	2880	2982	6903	47222
11	Poland	7800	6909	4789	2349	1002	1047	2257	2240	2243	2132	5164	6233	44165
12	Canada	4126	3912	4034	3594	3294	3263	4821	3868	2095	2339	3085	3781	42212
13	Bangladesh	2329	2389	1308	2354	2878	4374	4607	3877	4178	3732	3375	4154	39555
14	Italy	3485	3194	2502	2245	1010	1792	3630	9586	1902	1431	2237	5695	38709
15	Spain	2004	2036	2706	2166	1369	2081	4224	7262	4166	3458	3655	2801	37928
16	Japan	1993	2666	2575	1949	1581	1666	2202	4102	3526	2392	2178	3599	30429
17	Switzerland	2951	2888	2522	2557	1345	1291	5089	1856	1778	1816	2490	3246	29829
18	Israel	773	1988	2212	3169	1506	1515	2962	3248	3142	1398	878	2054	24845
19	Czech Republic	3484	3852	2988	1279	314	526	1133	822	496	729	1357	2299	19279
20	Malaysia	1096	2250	1721	1277	1204	1384	1596	1571	1954	1013	1467	1726	18259
21	Belgium	1313	1577	1565	914	549	872	3435	1751	1669	847	1390	1337	17219
22	Austria	2385	2372	1674	1092	544	384	1722	1150	757	917	1705	2401	17103
23	Denmark	2542	2160	1497	822	410	714	2147	606	566	739	1036	1713	14952
24	Pakistan	956	1299	941	797	938	1399	1848	1040	556	1140	1148	1389	13451
25	Sweden	1921	1903	1331	537	278	568	716	290	345	716	1132	3676	13413
26	Singapore	804	862	1166	858	914	1284	853	1215	710	717	1197	2011	12591
27	Norway	1226	1329	1033	548	379	1452	1800	486	443	442	783	1478	11399
28	Kazakhstan	3350	2682	2266	152	65	96	168	71	99	213	289	1932	11383
29	New Zealand	732	567	1032	1116	664	853	1017	1011	1033	780	915	1562	11282
30	Belarus	2342	1884	1665	752	195	175	203	199	177	504	1429	1408	10933
31	Iran	688	919	3589	426	280	318	339	883	1227	591	804	794	10858
32	South Korea	1677	830	861	637	571	579	1009	698	608	876	1188	1266	10800
33	Ireland	797	874	1008	846	315	673	715	586	434	706	703	1090	8747
34	Thailand	505	716	928	834	583	364	483	598	384	581	622	648	7246
35	Ukraine	1485	1193	907	437	203	206	214	203	191	350	554	1156	7099
36	Slovakia	990	1179	945	535	173	163	292	290	255	439	736	713	6710
37	Turkey	717	663	473	910	294	572	403	448	361	409	620	803	6673
38	Hungary	1544	1311	585	237	78	160	210	261	137	431	648	978	6580
39	Portugal	487	654	670	530	314	281	351	667	410	633	856	636	6489
40	Romania	853	940	638	655	147	192	264	336	254	354	531	1243	6407
41	Lithuania	1015	1601	1219	401	69	73	174	111	92	285	488	867	6395
